ClassID,GenType,NPCID,PosX,PosY,PosZ,Direction,AnchorRange,Name
268,3,11120,580,929,2804,-90,10,"부베 약탈자"
269,3,11120,322,937,2824,-90,10,"부베 약탈자"
270,3,11120,337,929,2531,-90,10,"부베 약탈자"
271,3,11120,652,929,2531,-90,10,"부베 약탈자"
272,3,11120,463,935,2040,-90,10,"부베 약탈자"
273,3,11120,-93,935,1919,-90,10,"부베 약탈자"
274,3,11120,-226,935,1767,-90,10,"부베 약탈자"
275,3,11120,-527,951,1422,-90,10,"부베 약탈자"
277,3,11120,-541,953,876,-90,10,"부베 약탈자"
280,3,11120,55,915,869,-90,10,"부베 약탈자"
282,3,11120,72.423775,937.362915,1396.179932,-90,10,"부베 약탈자"
283,3,11120,-245,935,1385,-90,10,"부베 약탈자"
284,3,11120,-234,915,1124,-90,10,"부베 약탈자"
285,3,11120,-237,935,827,-90,10,"부베 약탈자"
286,4,11120,171.160583,940.687317,1925.638916,-90,10,"부베 약탈자"
401,6,40001,-250,935,-134,89,1,"WarpSpot"
402,7,40001,-260,935,478,-90,1,"WarpSpot"
600,600,11120,-243,955,-3206,-27,10,"부베 약탈자"
601,600,11120,-125,935,-2422,-27,10,"부베 약탈자"
602,600,11120,-188,935,-1148,-27,10,"부베 약탈자"
603,600,11120,1126,935,-730,-27,10,"부베 약탈자"
604,600,11120,1661.212280,887.789063,-766.832214,-27,10,"부베 약탈자"
605,600,11120,49,915,1178,-27,10,"부베 약탈자"
606,600,11120,454,940,1889,-27,10,"부베 약탈자"
856,2,0,-226.082687,935.687134,-2182.721436,0,0,""
857,2,0,75.042923,971.988586,-1088.922607,0,0,""
858,2,0,1403.729492,908.363464,-781.156921,0,0,""
859,2,0,-440.217407,971.780518,-513.689209,0,0,""
860,1,0,25.099253,972.231445,-969.206421,0,0,""
861,1,0,993.143494,935.550781,-735.928528,0,0,""
862,1,0,-238.045807,960.687195,-1814.524414,0,0,""
863,1,0,-207.670029,935.687134,-2521.157471,0,0,""
864,1,0,-305.287994,935.687073,-2312.832520,0,0,""
865,1,0,-417.507294,935.687195,-802.317810,0,0,""
866,1,0,15.577894,972.303406,-530.945679,0,0,""
867,1,0,1421.336304,886.916199,-995.413391,0,0,""
868,1,0,1637.665405,887.848083,-715.197876,0,0,""
869,1,0,482.415314,955.706543,-761.302429,0,0,""
870,1,0,-246.768555,935.687073,-1248.541138,0,0,""
871,1,0,-232.766052,935.687195,-2026.766968,0,0,""
872,601,0,-229.127426,935.687134,-2565.841064,0,0,""
873,601,0,-142.840469,936.256714,-1030.828125,0,0,""
875,602,0,-242.245941,935.687134,-261.410370,0,0,""
876,603,0,1658.325317,887.589172,-621.829224,-90,0,""
877,604,0,1658.122070,887.796753,-731.731567,0,0,""
878,605,0,-217.557510,960.687195,-1804.255981,-45,0,""
879,606,0,-535.986389,955.064270,867.044617,0,0,""
880,606,0,-470.992584,933.476135,1145.750854,0,0,""
881,606,0,-525.561646,952.168884,1413.986206,0,0,""
882,606,0,-235.325836,935.687073,826.016724,0,0,""
883,606,0,-225.382477,915.687073,1121.133667,0,0,""
884,606,0,-216.222000,935.687073,1359.507202,0,0,""
885,606,0,44.462715,916.151978,866.058472,0,0,""
886,606,0,47.693233,919.197571,1128.774292,0,0,""
887,606,0,79.690804,937.081726,1415.757324,0,0,""
888,607,0,428.191498,929.855774,2712.692627,0,0,""
889,602,0,-258.764771,935.687073,655.399170,0,0,""
890,602,0,-243.618942,955.687073,-3426.756592,0,0,""
891,5,0,-247.249207,935.687073,-3548.953857,-90,0,""
892,8,0,1344.740234,887.043762,-1033.726074,0,0,""
893,609,0,1611.626953,868.598633,-955.189514,-90,0,""
894,610,0,-641.769897,935.687073,-615.218140,-90,0,""
895,611,0,995.576355,915.997498,2860.073242,0,0,""
896,612,0,-174.096222,935.687073,-2942.401611,-45,0,""
897,613,0,99.656540,935.687195,1985.887695,0,0,""
899,614,0,-193.528564,935.936462,-1043.905273,0,0,""
900,614,0,79.438858,935.707764,-778.563354,0,0,""
902,614,0,-242.412033,926.843079,-739.825378,0,0,""
903,614,0,-542.684570,935.898804,-768.848633,0,0,""
905,614,0,-310.955414,935.687073,-2417.615967,0,0,""
906,614,0,-128.501617,935.687134,-2301.784668,0,0,""
907,614,0,-158.575439,935.687073,-2575.315186,0,0,""
908,614,0,1442.330322,907.973267,-738.531372,0,0,""
909,614,0,1649.250854,887.819031,-718.181946,0,0,""
910,614,0,1618.310303,869.686401,-996.099976,0,0,""
911,614,0,1353.556030,886.865784,-980.273682,0,0,""
912,615,0,-211.855118,935.630371,1412.266724,0,0,""
914,615,0,-187.051270,915.687073,1119.005371,0,0,""
915,615,0,-262.455658,935.687073,826.977234,0,0,""
916,615,0,-86.748405,935.687073,1892.848267,0,0,""
917,615,0,392.021545,929.855713,2513.510498,0,0,""
918,615,0,635.276489,929.855774,2443.142090,0,0,""
919,615,0,396.572205,929.855713,2730.325928,0,0,""
921,615,0,428.674866,940.687073,1964.525146,0,0,""
